,td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_per,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_per,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
700,"[-5, -8, 4, -12, 0, -4, -14]","[5, 4, -3, 2, 6, 9, -8]","[-1, -4, 8, -8, 4, 0, -10]","[9, 8, 1, 6, 10, 13, -4]","[-5, -8, 4, -12, 0, -4]","[5, 4, -3, 2, 6, 9]","[-5, -8, 4, -12, 0, 4, -4, -14]","[5, 4, -3, 2, 6, 4, 9, -8]","[-0.2, -0.125, 0.25, -0.08333333333333333, 'ZeroDivisionError', -0.25, -0.07142857142857142]","[0.2, 0.25, -0.3333333333333333, 0.5, 0.16666666666666666, 0.1111111111111111, -0.125]","[-20, -32, 16, -48, 0, -16, -56]","[20, 16, -12, 8, 24, 36, -32]","[-12, -5, -14, 4, 0, -8, -4]","[9, -3, 2, -8, 6, 4, 5]","[-5, -8, -3, -12, 0, -4, -14]","[-12, -5, -14, -8, 0, -8, -4]","[-1, -4, 1, -8, 4, 0, -10]","[-20, -32, -12, -48, 0, -16, -56]",error,"[-5, -8, -3, -12, 0, 4, -4, -14]","[-5, -8, -3, -12, 0, -4]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
701,"[6, -13, -5, 15, -7, 18, 11, -4, 13, -5, -3, 16, 12, 6]","[2, -1, 1, 1, 3, 8, 15, 1, -1, -8, 0, 8, 0, 0]","[10, -9, -1, 19, -3, 22, 15, 0, 17, -1, 1, 20, 16, 10]","[6, 3, 5, 5, 7, 12, 19, 5, 3, -4, 4, 12, 4, 4]","[6, -13, -5, 15, -7, 18, 11, 13, -5, -3, 16, 12, 6]","[2, -1, 1, 1, 3, 8, 15, -1, -8, 0, 8, 0, 0]","[6, -13, -5, 4, 15, -7, 18, 11, -4, 13, -5, -3, 16, 12, 6]","[2, -1, 1, 4, 1, 3, 8, 15, 1, -1, -8, 0, 8, 0, 0]","[0.16666666666666666, -0.07692307692307693, -0.2, 0.06666666666666667, -0.14285714285714285, 0.05555555555555555, 0.09090909090909091, -0.25, 0.07692307692307693, -0.2, -0.3333333333333333, 0.0625, 0.08333333333333333, 0.16666666666666666]","[0.5, -1.0, 1.0, 1.0, 0.3333333333333333, 0.125, 0.06666666666666667, 1.0, -1.0, -0.125, 'ZeroDivisionError', 0.125, 'ZeroDivisionError', 'ZeroDivisionError']","[24, -52, -20, 60, -28, 72, 44, -16, 52, -20, -12, 64, 48, 24]","[8, -4, 4, 4, 12, 32, 60, 4, -4, -32, 0, 32, 0, 0]","[-3, -7, 12, 18, -5, 16, 6, 6, 11, 13, 15, -13, -4, -5]","[0, 1, 2, 1, 3, 1, -1, 8, 8, 0, -1, -8, 15, 0]","[2, -13, -5, 1, -7, 8, 11, -4, -1, -8, -3, 8, 0, 0]","[-3, -7, 2, 1, -5, 1, -1, 6, 8, 0, -1, -13, -4, -5]","[6, -9, -1, 5, -3, 12, 15, 0, 3, -4, 1, 12, 4, 4]","[8, -52, -20, 4, -28, 32, 44, -16, -4, -32, -12, 32, 0, 0]",error,"[2, -13, -5, 4, 1, -7, 8, 11, -4, -1, -8, -3, 8, 0, 0]","[2, -13, -5, 1, -7, 8, 11, -1, -8, -3, 8, 0, 0]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
702,[11],[14],[15],[18],[],[],"[4, 11]","[4, 14]",[0.09090909090909091],[0.07142857142857142],[44],[56],[11],[14],[11],[11],[15],[44],[0.07142857142857142],"[4, 11]",[],No-violate,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0,0
703,"[-6, 1, 5]","[4, 9, -7]","[-2, 5, 9]","[8, 13, -3]","[-6, 1]","[4, 9]","[-6, 1, 5, 4]","[4, 9, -7, 4]","[-0.16666666666666666, 1.0, 0.2]","[0.25, 0.1111111111111111, -0.14285714285714285]","[-24, 4, 20]","[16, 36, -28]","[5, 1, -6]","[-7, 9, 4]","[-6, 1, -7]","[-7, 1, -6]","[-2, 5, -3]","[-24, 4, -28]","[-0.16666666666666666, 0.1111111111111111, -0.14285714285714285]","[-6, 1, -7, 4]","[-6, 1]",No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
704,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],[],[],[],[],[],[4],[],No-violate,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,0,1
705,"[7, 15]","[-9, -7]","[11, 19]","[-5, -3]",[15],[-7],"[7, 4, 15]","[-9, 4, -7]","[0.14285714285714285, 0.06666666666666667]","[-0.1111111111111111, -0.14285714285714285]","[28, 60]","[-36, -28]","[15, 7]","[-9, -7]","[-9, -7]","[-9, -7]","[-5, -3]","[-36, -28]","[-0.1111111111111111, -0.14285714285714285]","[-9, 4, -7]",[-7],No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
706,"[13, 2, 18, 5, 14, 9, 3, 0, 0, -5, 18]","[7, 11, 6, 14, 9, -5, -3, 16, 7, 6, -1]","[17, 6, 22, 9, 18, 13, 7, 4, 4, -1, 22]","[11, 15, 10, 18, 13, -1, 1, 20, 11, 10, 3]","[13, 2, 18, 5, 14, 9, 3, 0, -5, 18]","[7, 11, 6, 14, 9, -5, -3, 7, 6, -1]","[13, 2, 4, 18, 5, 14, 9, 3, 0, 0, -5, 18]","[7, 11, 4, 6, 14, 9, -5, -3, 16, 7, 6, -1]","[0.07692307692307693, 0.5, 0.05555555555555555, 0.2, 0.07142857142857142, 0.1111111111111111, 0.3333333333333333, 'ZeroDivisionError', 'ZeroDivisionError', -0.2, 0.05555555555555555]","[0.14285714285714285, 0.09090909090909091, 0.16666666666666666, 0.07142857142857142, 0.1111111111111111, -0.2, -0.3333333333333333, 0.0625, 0.14285714285714285, 0.16666666666666666, -1.0]","[52, 8, 72, 20, 56, 36, 12, 0, 0, -20, 72]","[28, 44, 24, 56, 36, -20, -12, 64, 28, 24, -4]","[3, 18, 5, 0, 2, 0, 9, 13, 18, 14, -5]","[-3, 11, 16, 6, 14, 7, 7, 9, 6, -5, -1]","[7, 2, 6, 5, 9, -5, -3, 0, 0, -5, -1]","[-3, 11, 5, 0, 2, 0, 7, 9, 6, -5, -5]","[11, 6, 10, 9, 13, -1, 1, 4, 4, -1, 3]","[28, 8, 24, 20, 36, -20, -12, 0, 0, -20, -4]",error,"[7, 2, 4, 6, 5, 9, -5, -3, 0, 0, -5, -1]","[7, 2, 6, 5, 9, -5, -3, 0, -5, -1]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
707,"[-6, 5, 15, 7, 16, 11, 8, -5, 12]","[-10, 13, 14, 11, 14, 12, 16, 15, 15]","[-2, 9, 19, 11, 20, 15, 12, -1, 16]","[-6, 17, 18, 15, 18, 16, 20, 19, 19]","[-6, 5, 15, 7, 16, 11, 8, -5]","[-10, 13, 14, 11, 14, 12, 16, 15]","[-6, 5, 15, 7, 16, 11, 4, 8, -5, 12]","[-10, 13, 14, 11, 14, 12, 4, 16, 15, 15]","[-0.16666666666666666, 0.2, 0.06666666666666667, 0.14285714285714285, 0.0625, 0.09090909090909091, 0.125, -0.2, 0.08333333333333333]","[-0.1, 0.07692307692307693, 0.07142857142857142, 0.09090909090909091, 0.07142857142857142, 0.08333333333333333, 0.0625, 0.06666666666666667, 0.06666666666666667]","[-24, 20, 60, 28, 64, 44, 32, -20, 48]","[-40, 52, 56, 44, 56, 48, 64, 60, 60]","[8, 5, -6, 11, 15, 7, 16, 12, -5]","[14, 12, 13, 15, 16, 11, 14, 15, -10]","[-10, 5, 14, 7, 14, 11, 8, -5, 12]","[8, 5, -6, 11, 15, 7, 14, 12, -10]","[-6, 9, 18, 11, 18, 15, 12, -1, 16]","[-40, 20, 56, 28, 56, 44, 32, -20, 48]","[-0.16666666666666666, 0.07692307692307693, 0.06666666666666667, 0.09090909090909091, 0.0625, 0.08333333333333333, 0.0625, -0.2, 0.06666666666666667]","[-10, 5, 14, 7, 14, 11, 4, 8, -5, 12]","[-10, 5, 14, 7, 14, 11, 8, -5]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
708,"[-6, 9, -12, -10, -10, -17, 5]","[-2, 0, 0, -7, 4, -1, 1]","[-2, 13, -8, -6, -6, -13, 9]","[2, 4, 4, -3, 8, 3, 5]","[-6, 9, -12, -10, -10, 5]","[-2, 0, 0, -7, 4, 1]","[4, -6, 9, -12, -10, -10, -17, 5]","[4, -2, 0, 0, -7, 4, -1, 1]","[-0.16666666666666666, 0.1111111111111111, -0.08333333333333333, -0.1, -0.1, -0.058823529411764705, 0.2]","[-0.5, 'ZeroDivisionError', 'ZeroDivisionError', -0.14285714285714285, 0.25, -1.0, 1.0]","[-24, 36, -48, -40, -40, -68, 20]","[-8, 0, 0, -28, 16, -4, 4]","[-10, 5, -6, -17, -10, 9, -12]","[-7, 1, 0, 0, -1, 4, -2]","[-6, 0, -12, -10, -10, -17, 1]","[-10, 1, -6, -17, -10, 4, -12]","[-2, 4, -8, -6, -6, -13, 5]","[-24, 0, -48, -40, -40, -68, 4]",error,"[4, -6, 0, -12, -10, -10, -17, 1]","[-6, 0, -12, -10, -10, 1]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
709,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],[],[],[],[],[],[4],[],No-violate,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,0,1
710,"[0, 6]","[-8, -3]","[4, 10]","[-4, 1]",[6],[-3],"[0, 4, 6]","[-8, 4, -3]","['ZeroDivisionError', 0.16666666666666666]","[-0.125, -0.3333333333333333]","[0, 24]","[-32, -12]","[6, 0]","[-3, -8]","[-8, -3]","[-3, -8]","[-4, 1]","[-32, -12]",error,"[-8, 4, -3]",[-3],No-violate,No-violate,Violate,error,No-violate,No-violate,0,0,1,error,0,0
711,"[6, 18, -12, 0, -12, -9, 0, 3, 4]","[17, 17, -8, -2, 4, 10, -11, -12, 16]","[10, 22, -8, 4, -8, -5, 4, 7, 8]","[21, 21, -4, 2, 8, 14, -7, -8, 20]","[6, -12, 0, -12, -9, 0, 3, 4]","[17, -8, -2, 4, 10, -11, -12, 16]","[6, 18, -12, 4, 0, -12, -9, 0, 3, 4]","[17, 17, -8, 4, -2, 4, 10, -11, -12, 16]","[0.16666666666666666, 0.05555555555555555, -0.08333333333333333, 'ZeroDivisionError', -0.08333333333333333, -0.1111111111111111, 'ZeroDivisionError', 0.3333333333333333, 0.25]","[0.058823529411764705, 0.058823529411764705, -0.125, -0.5, 0.25, 0.1, -0.09090909090909091, -0.08333333333333333, 0.0625]","[24, 72, -48, 0, -48, -36, 0, 12, 16]","[68, 68, -32, -8, 16, 40, -44, -48, 64]","[6, 0, 4, 0, -12, -12, 3, -9, 18]","[-8, 4, -12, 16, 10, -2, 17, -11, 17]","[6, 17, -12, -2, -12, -9, -11, -12, 4]","[-8, 0, -12, 0, -12, -12, 3, -11, 17]","[10, 21, -8, 2, -8, -5, -7, -8, 8]","[24, 68, -48, -8, -48, -36, -44, -48, 16]",error,"[6, 17, -12, 4, -2, -12, -9, -11, -12, 4]","[6, -12, -2, -12, -9, -11, -12, 4]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
712,"[14, 1, 13, 0, -7, -5, 11]","[-3, 10, 1, 13, 1, 15, 0]","[18, 5, 17, 4, -3, -1, 15]","[1, 14, 5, 17, 5, 19, 4]","[1, 13, 0, -7, -5, 11]","[10, 1, 13, 1, 15, 0]","[14, 1, 13, 4, 0, -7, -5, 11]","[-3, 10, 1, 4, 13, 1, 15, 0]","[0.07142857142857142, 1.0, 0.07692307692307693, 'ZeroDivisionError', -0.14285714285714285, -0.2, 0.09090909090909091]","[-0.3333333333333333, 0.1, 1.0, 0.07692307692307693, 1.0, 0.06666666666666667, 'ZeroDivisionError']","[56, 4, 52, 0, -28, -20, 44]","[-12, 40, 4, 52, 4, 60, 0]","[-7, 11, 13, 1, 14, 0, -5]","[10, 1, 15, 0, 13, 1, -3]","[-3, 1, 1, 0, -7, -5, 0]","[-7, 1, 13, 0, 13, 0, -5]","[1, 5, 5, 4, -3, -1, 4]","[-12, 4, 4, 0, -28, -20, 0]",error,"[-3, 1, 1, 4, 0, -7, -5, 0]","[1, 1, 0, -7, -5, 0]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
713,"[-2, -19, -3, 15, 11, 13, -4]","[8, -6, 15, 11, -13, 11, -9]","[2, -15, 1, 19, 15, 17, 0]","[12, -2, 19, 15, -9, 15, -5]","[-2, -19, -3, 15, 11, -4]","[8, -6, 15, 11, -13, -9]","[-2, -19, -3, 15, 11, 4, 13, -4]","[8, -6, 15, 11, -13, 4, 11, -9]","[-0.5, -0.05263157894736842, -0.3333333333333333, 0.06666666666666667, 0.09090909090909091, 0.07692307692307693, -0.25]","[0.125, -0.16666666666666666, 0.06666666666666667, 0.09090909090909091, -0.07692307692307693, 0.09090909090909091, -0.1111111111111111]","[-8, -76, -12, 60, 44, 52, -16]","[32, -24, 60, 44, -52, 44, -36]","[15, 11, -3, -19, -2, 13, -4]","[-9, -13, -6, 11, 11, 15, 8]","[-2, -19, -3, 11, -13, 11, -9]","[-9, -13, -6, -19, -2, 13, -4]","[2, -15, 1, 15, -9, 15, -5]","[-8, -76, -12, 44, -52, 44, -36]","[-0.5, -0.16666666666666666, -0.3333333333333333, 0.06666666666666667, -0.07692307692307693, 0.07692307692307693, -0.25]","[-2, -19, -3, 11, -13, 4, 11, -9]","[-2, -19, -3, 11, -13, -9]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
714,"[0, -6, -5, 2, -1, -8, -4, 7, -2, -12, 1]","[4, -17, -1, -2, 11, -5, 0, -4, 9, -6, -5]","[4, -2, -1, 6, 3, -4, 0, 11, 2, -8, 5]","[8, -13, 3, 2, 15, -1, 4, 0, 13, -2, -1]","[0, -5, 2, -1, -8, -4, 7, -2, -12, 1]","[4, -1, -2, 11, -5, 0, -4, 9, -6, -5]","[0, -6, 4, -5, 2, -1, -8, -4, 7, -2, -12, 1]","[4, -17, 4, -1, -2, 11, -5, 0, -4, 9, -6, -5]","['ZeroDivisionError', -0.16666666666666666, -0.2, 0.5, -1.0, -0.125, -0.25, 0.14285714285714285, -0.5, -0.08333333333333333, 1.0]","[0.25, -0.058823529411764705, -1.0, -0.5, 0.09090909090909091, -0.2, 'ZeroDivisionError', -0.25, 0.1111111111111111, -0.16666666666666666, -0.2]","[0, -24, -20, 8, -4, -32, -16, 28, -8, -48, 4]","[16, -68, -4, -8, 44, -20, 0, -16, 36, -24, -20]","[2, 1, -1, -5, 7, -4, -8, 0, -12, -6, -2]","[-6, -2, -1, 11, 9, 0, -5, 4, -17, -5, -4]","[0, -17, -5, -2, -1, -8, -4, -4, -2, -12, -5]","[-6, -2, -1, -5, 7, -4, -8, 0, -17, -6, -4]","[4, -13, -1, 2, 3, -4, 0, 0, 2, -8, -1]","[0, -68, -20, -8, -4, -32, -16, -16, -8, -48, -20]",error,"[0, -17, 4, -5, -2, -1, -8, -4, -4, -2, -12, -5]","[0, -5, -2, -1, -8, -4, -4, -2, -12, -5]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
715,"[-13, -9, -11]","[6, 7, 6]","[-9, -5, -7]","[10, 11, 10]","[-13, -9]","[6, 7]","[-13, 4, -9, -11]","[6, 4, 7, 6]","[-0.07692307692307693, -0.1111111111111111, -0.09090909090909091]","[0.16666666666666666, 0.14285714285714285, 0.16666666666666666]","[-52, -36, -44]","[24, 28, 24]","[-11, -13, -9]","[6, 7, 6]","[-13, -9, -11]","[-11, -13, -9]","[-9, -5, -7]","[-52, -36, -44]","[-0.07692307692307693, -0.1111111111111111, -0.09090909090909091]","[-13, 4, -9, -11]","[-13, -9]",No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
716,"[-5, -2, -6, -9, -11, -12, -9, -8, 5, 7]","[-10, 3, -5, -5, -14, -13, 5, 1, 5, -7]","[-1, 2, -2, -5, -7, -8, -5, -4, 9, 11]","[-6, 7, -1, -1, -10, -9, 9, 5, 9, -3]","[-5, -2, -6, -9, -11, -12, -9, -8, 5]","[-10, 3, -5, -5, -14, -13, 5, 1, 5]","[-5, -2, -6, -9, -11, -12, 4, -9, -8, 5, 7]","[-10, 3, -5, -5, -14, -13, 4, 5, 1, 5, -7]","[-0.2, -0.5, -0.16666666666666666, -0.1111111111111111, -0.09090909090909091, -0.08333333333333333, -0.1111111111111111, -0.125, 0.2, 0.14285714285714285]","[-0.1, 0.3333333333333333, -0.2, -0.2, -0.07142857142857142, -0.07692307692307693, 0.2, 1.0, 0.2, -0.14285714285714285]","[-20, -8, -24, -36, -44, -48, -36, -32, 20, 28]","[-40, 12, -20, -20, -56, -52, 20, 4, 20, -28]","[-12, -11, -2, -9, -9, 5, -8, -6, 7, -5]","[-14, -5, -5, -10, 5, 3, -13, 1, -7, 5]","[-10, -2, -6, -9, -14, -13, -9, -8, 5, -7]","[-14, -11, -5, -10, -9, 3, -13, -6, -7, -5]","[-6, 2, -2, -5, -10, -9, -5, -4, 9, -3]","[-40, -8, -24, -36, -56, -52, -36, -32, 20, -28]","[-0.2, -0.5, -0.2, -0.2, -0.09090909090909091, -0.08333333333333333, -0.1111111111111111, -0.125, 0.2, -0.14285714285714285]","[-10, -2, -6, -9, -14, -13, 4, -9, -8, 5, -7]","[-10, -2, -6, -9, -14, -13, -9, -8, 5]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
717,"[1, 7]","[-1, 5]","[5, 11]","[3, 9]",[1],[-1],"[4, 1, 7]","[4, -1, 5]","[1.0, 0.14285714285714285]","[-1.0, 0.2]","[4, 28]","[-4, 20]","[7, 1]","[-1, 5]","[-1, 5]","[-1, 1]","[3, 9]","[-4, 20]","[-1.0, 0.14285714285714285]","[4, -1, 5]",[-1],Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
718,"[-3, 4, 3, -1]","[-1, 12, -5, 7]","[1, 8, 7, 3]","[3, 16, -1, 11]","[4, 3, -1]","[12, -5, 7]","[4, -3, 4, 3, -1]","[4, -1, 12, -5, 7]","[-0.3333333333333333, 0.25, 0.3333333333333333, -1.0]","[-1.0, 0.08333333333333333, -0.2, 0.14285714285714285]","[-12, 16, 12, -4]","[-4, 48, -20, 28]","[3, -1, 4, -3]","[-1, 7, 12, -5]","[-3, 4, -5, -1]","[-1, -1, 4, -5]","[1, 8, -1, 3]","[-12, 16, -20, -4]","[-1.0, 0.08333333333333333, -0.2, -1.0]","[4, -3, 4, -5, -1]","[4, -5, -1]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
719,"[8, 14]","[13, -1]","[12, 18]","[17, 3]",[14],[-1],"[4, 8, 14]","[4, 13, -1]","[0.125, 0.07142857142857142]","[0.07692307692307693, -1.0]","[32, 56]","[52, -4]","[14, 8]","[-1, 13]","[8, -1]","[-1, 8]","[12, 3]","[32, -4]","[0.07692307692307693, -1.0]","[4, 8, -1]",[-1],No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
720,[-15],[-11],[-11],[-7],[],[],"[4, -15]","[4, -11]",[-0.06666666666666667],[-0.09090909090909091],[-60],[-44],[-15],[-11],[-15],[-15],[-11],[-60],[-0.09090909090909091],"[4, -15]",[],No-violate,No-violate,Violate,Violate,No-violate,No-violate,0,0,1,1,0,0
721,"[-11, -7, 10, -9, 5, 4, 12, -4, 2, 9, -2, -7, 4, -1]","[-10, 1, -1, -7, -2, 5, 1, 0, 8, 3, 6, 10, 12, 8]","[-7, -3, 14, -5, 9, 8, 16, 0, 6, 13, 2, -3, 8, 3]","[-6, 5, 3, -3, 2, 9, 5, 4, 12, 7, 10, 14, 16, 12]","[-11, -7, 10, -9, 5, 4, 12, -4, 2, 9, -2, 4, -1]","[-10, 1, -1, -7, -2, 5, 1, 0, 8, 3, 6, 12, 8]","[-11, -7, 10, -9, 5, 4, 12, -4, 4, 2, 9, -2, -7, 4, -1]","[-10, 1, -1, -7, -2, 5, 1, 0, 4, 8, 3, 6, 10, 12, 8]","[-0.09090909090909091, -0.14285714285714285, 0.1, -0.1111111111111111, 0.2, 0.25, 0.08333333333333333, -0.25, 0.5, 0.1111111111111111, -0.5, -0.14285714285714285, 0.25, -1.0]","[-0.1, 1.0, -1.0, -0.14285714285714285, -0.5, 0.2, 1.0, 'ZeroDivisionError', 0.125, 0.3333333333333333, 0.16666666666666666, 0.1, 0.08333333333333333, 0.125]","[-44, -28, 40, -36, 20, 16, 48, -16, 8, 36, -8, -28, 16, -4]","[-40, 4, -4, -28, -8, 20, 4, 0, 32, 12, 24, 40, 48, 32]","[-11, 9, -4, -9, 10, -2, 4, -7, 2, -1, -7, 12, 4, 5]","[6, 0, -1, 3, 12, -10, 8, -7, 1, 5, 8, 1, 10, -2]","[-11, -7, -1, -9, -2, 4, 1, -4, 2, 3, -2, -7, 4, -1]","[-11, 0, -4, -9, 10, -10, 4, -7, 1, -1, -7, 1, 4, -2]","[-7, -3, 3, -5, 2, 8, 5, 0, 6, 7, 2, -3, 8, 3]","[-44, -28, -4, -36, -8, 16, 4, -16, 8, 12, -8, -28, 16, -4]",error,"[-11, -7, -1, -9, -2, 4, 1, -4, 4, 2, 3, -2, -7, 4, -1]","[-11, -7, -1, -9, -2, 4, 1, -4, 2, 3, -2, 4, -1]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
722,[10],[5],[14],[9],[],[],"[4, 10]","[4, 5]",[0.1],[0.2],[40],[20],[10],[5],[5],[5],[9],[20],[0.1],"[4, 5]",[],No-violate,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0,0
723,"[-5, 3, 2, -2, -5, -2, -4, 5, 3, -1, -1]","[-1, 2, -5, -5, 4, -4, 3, 5, 2, 3, -4]","[-1, 7, 6, 2, -1, 2, 0, 9, 7, 3, 3]","[3, 6, -1, -1, 8, 0, 7, 9, 6, 7, 0]","[-5, 3, 2, -2, -5, -2, -4, 5, 3, -1]","[-1, 2, -5, -5, 4, -4, 3, 5, 2, 3]","[-5, 3, 2, -2, 4, -5, -2, -4, 5, 3, -1, -1]","[-1, 2, -5, -5, 4, 4, -4, 3, 5, 2, 3, -4]","[-0.2, 0.3333333333333333, 0.5, -0.5, -0.2, -0.5, -0.25, 0.2, 0.3333333333333333, -1.0, -1.0]","[-1.0, 0.5, -0.2, -0.2, 0.25, -0.25, 0.3333333333333333, 0.2, 0.5, 0.3333333333333333, -0.25]","[-20, 12, 8, -8, -20, -8, -16, 20, 12, -4, -4]","[-4, 8, -20, -20, 16, -16, 12, 20, 8, 12, -16]","[-2, -1, -1, 3, 5, -5, -4, 2, -5, 3, -2]","[4, 2, 5, -1, -4, -4, -5, 3, 2, -5, 3]","[-5, 2, -5, -5, -5, -4, -4, 5, 2, -1, -4]","[-2, -1, -1, -1, -4, -5, -5, 2, -5, -5, -2]","[-1, 6, -1, -1, -1, 0, 0, 9, 6, 3, 0]","[-20, 8, -20, -20, -20, -16, -16, 20, 8, -4, -16]","[-1.0, 0.3333333333333333, -0.2, -0.5, -0.2, -0.5, -0.25, 0.2, 0.3333333333333333, -1.0, -1.0]","[-5, 2, -5, -5, 4, -5, -4, -4, 5, 2, -1, -4]","[-5, 2, -5, -5, -5, -4, -4, 5, 2, -1]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
724,"[-16, -2, -6, -4, -12, -14, -5, -7, -9, -14, 1, -10, -16, 4]","[-12, -8, -10, -2, 0, 4, -15, -7, -3, -11, -8, -8, -14, -3]","[-12, 2, -2, 0, -8, -10, -1, -3, -5, -10, 5, -6, -12, 8]","[-8, -4, -6, 2, 4, 8, -11, -3, 1, -7, -4, -4, -10, 1]","[-16, -2, -4, -12, -14, -5, -7, -9, -14, 1, -10, -16, 4]","[-12, -8, -2, 0, 4, -15, -7, -3, -11, -8, -8, -14, -3]","[-16, -2, -6, -4, 4, -12, -14, -5, -7, -9, -14, 1, -10, -16, 4]","[-12, -8, -10, -2, 4, 0, 4, -15, -7, -3, -11, -8, -8, -14, -3]","[-0.0625, -0.5, -0.16666666666666666, -0.25, -0.08333333333333333, -0.07142857142857142, -0.2, -0.14285714285714285, -0.1111111111111111, -0.07142857142857142, 1.0, -0.1, -0.0625, 0.25]","[-0.08333333333333333, -0.125, -0.1, -0.5, 'ZeroDivisionError', 0.25, -0.06666666666666667, -0.14285714285714285, -0.3333333333333333, -0.09090909090909091, -0.125, -0.125, -0.07142857142857142, -0.3333333333333333]","[-64, -8, -24, -16, -48, -56, -20, -28, -36, -56, 4, -40, -64, 16]","[-48, -32, -40, -8, 0, 16, -60, -28, -12, -44, -32, -32, -56, -12]","[-16, -2, -12, -7, -6, -14, -9, -4, 4, -5, -10, -14, -16, 1]","[-14, -12, -3, 0, -7, -10, -11, -8, -3, 4, -2, -15, -8, -8]","[-16, -8, -10, -4, -12, -14, -15, -7, -9, -14, -8, -10, -16, -3]","[-16, -12, -12, -7, -7, -14, -11, -8, -3, -5, -10, -15, -16, -8]","[-12, -4, -6, 0, -8, -10, -11, -3, -5, -10, -4, -6, -12, 1]","[-64, -32, -40, -16, -48, -56, -60, -28, -36, -56, -32, -40, -64, -12]",error,"[-16, -8, -10, -4, 4, -12, -14, -15, -7, -9, -14, -8, -10, -16, -3]","[-16, -8, -4, -12, -14, -15, -7, -9, -14, -8, -10, -16, -3]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
