,td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_per,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_per,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
956,"[24, 15, 15, 12, -2, 1, 10, 9, -9, 4, 11, -6, 6]","[10, 3, 6, -5, -5, 10, 7, -2, -10, 8, -6, -7, -9]","[32, 23, 23, 20, 6, 9, 18, 17, -1, 12, 19, 2, 14]","[14, 7, 10, -1, -1, 14, 11, 2, -6, 12, -2, -3, -5]","[24, 15, 12, -2, 1, 10, 9, -9, 4, 11, -6, 6]","[10, 3, -5, -5, 10, 7, -2, -10, 8, -6, -7, -9]","[24, 15, 15, 12, 8, -2, 1, 10, 9, -9, 4, 11, -6, 6]","[10, 3, 6, -5, 4, -5, 10, 7, -2, -10, 8, -6, -7, -9]","[0.17142857142857143, 0.41666666666666663, 0.2777777777777778, -0.1411764705882353, 0.1333333333333333, -0.0111111111111111, 0.47619047619047616, -0.40909090909090906, 0.9, -0.125, -0.10784313725490195, 0.8571428571428572, -0.04444444444444444]","[0.1, 0.3333333333333333, 0.16666666666666666, -0.2, -0.2, 0.1, 0.14285714285714285, -0.5, -0.1, 0.125, -0.16666666666666666, -0.14285714285714285, -0.1111111111111111]","[96, 60, 60, 48, -8, 4, 40, 36, -36, 16, 44, -24, 24]","[40, 12, 24, -20, -20, 40, 28, -8, -40, 32, -24, -28, -36]","[-6, 13, 13, 19, 5, -6, 23, 7, 25, 3, -6, 9, -9]","[3, -2, 10, 10, -6, -7, 6, -5, 8, 7, -9, -5, -10]","[24, 15, 15, 12, -2, 1, 10, 9, -9, 4, 11, -6, 6]","[-6, 13, 13, 19, 5, -6, 23, 7, 25, 3, -6, 9, -9]","[32, 23, 23, 20, 6, 9, 18, 17, -1, 12, 19, 2, 14]","[96, 60, 60, 48, -8, 4, 40, 36, -36, 16, 44, -24, 24]","[0.17142857142857143, 0.41666666666666663, 0.2777777777777778, -0.1411764705882353, 0.1333333333333333, -0.0111111111111111, 0.47619047619047616, -0.40909090909090906, 0.9, -0.125, -0.10784313725490195, 0.8571428571428572, -0.04444444444444444]","[24, 15, 15, 12, 8, -2, 1, 10, 9, -9, 4, 11, -6, 6]","[24, 15, 12, -2, 1, 10, 9, -9, 4, 11, -6, 6]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
957,"[-13, -3, 3, -10, -10, -18, -20, -17, -7, -2, -21]","[-5, -2, 4, 0, -5, -8, -16, -7, 0, -4, -12]","[-5, 5, 11, -2, -2, -10, -12, -9, 1, 6, -13]","[-1, 2, 8, 4, -1, -4, -12, -3, 4, 0, -8]","[-13, 3, -10, -10, -18, -20, -17, -7, -2, -21]","[-5, 4, 0, -5, -8, -16, -7, 0, -4, -12]","[-13, -3, 3, -10, -10, -18, -20, -17, -7, -2, 8, -21]","[-5, -2, 4, 0, -5, -8, -16, -7, 0, -4, 4, -12]","[-0.325, -1.5, -0.75, -0.1, -0.2, -0.1, -0.25, -0.1, -0.14285714285714285, 0.5, -0.1111111111111111]","[-0.2, -0.5, 0.25, 'ZeroDivisionError', -0.2, -0.125, -0.0625, -0.14285714285714285, 'ZeroDivisionError', -0.25, -0.08333333333333333]","[-52, -12, 12, -40, -40, -72, -80, -68, -28, -8, -84]","[-20, -8, 16, 0, -20, -32, -64, -28, 0, -16, -48]","[-12, -18, -22, -5, -17, 2, -17, -9, 3, -9, -14]","[-4, -8, -12, 0, -16, 0, -7, -2, 4, -5, -5]","[-13, -3, 3, -10, -10, -18, -20, -17, -7, -2, -21]","[-12, -18, -22, -5, -17, 2, -17, -9, 3, -9, -14]","[-5, 5, 11, -2, -2, -10, -12, -9, 1, 6, -13]","[-52, -12, 12, -40, -40, -72, -80, -68, -28, -8, -84]",error,"[-13, -3, 3, -10, -10, -18, -20, -17, -7, -2, 8, -21]","[-13, 3, -10, -10, -18, -20, -17, -7, -2, -21]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
958,"[-1, -1]","[-10, -5]","[7, 7]","[-6, -1]",[-1],[-5],"[-1, 8, -1]","[-10, 4, -5]","[0.0111111111111111, 0.04999999999999999]","[-0.1, -0.2]","[-4, -4]","[-40, -20]","[-6, 4]","[-10, -5]","[-1, -1]","[-6, 4]","[7, 7]","[-4, -4]","[0.0111111111111111, 0.04999999999999999]","[-1, 8, -1]",[-1],Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
959,"[-9, 12, 4, -14, -15, 24, -1, 14, 8, 14]","[2, 14, 9, -14, -8, 11, -4, 0, 9, 5]","[-1, 20, 12, -6, -7, 32, 7, 22, 16, 22]","[6, 18, 13, -10, -4, 15, 0, 4, 13, 9]","[-9, 12, 4, -14, -15, 24, -1, 14, 14]","[2, 14, 9, -14, -8, 11, -4, 0, 5]","[-9, 12, 4, -14, -15, 24, -1, 14, 8, 8, 14]","[2, 14, 9, -14, -8, 11, -4, 0, 9, 4, 5]","[0.40909090909090906, -0.4285714285714286, -0.0888888888888889, 'ZeroDivisionError', -0.14285714285714285, 0.07692307692307693, 0.3333333333333333, 0.07142857142857142, -1.0, 0.1111111111111111]","[0.5, 0.07142857142857142, 0.1111111111111111, -0.07142857142857142, -0.125, 0.09090909090909091, -0.25, 'ZeroDivisionError', 0.1111111111111111, 0.2]","[-36, 48, 16, -56, -60, 96, -4, 56, 32, 56]","[8, 56, 36, -56, -32, 44, -16, 0, 36, 20]","[27, -11, 6, 7, 11, 2, 8, -5, -9, 1]","[14, 0, -8, 9, 11, 9, 5, -14, -4, 2]","[-9, 12, 4, -14, -15, 24, -1, 14, 8, 14]","[27, -11, 6, 7, 11, 2, 8, -5, -9, 1]","[-1, 20, 12, -6, -7, 32, 7, 22, 16, 22]","[-36, 48, 16, -56, -60, 96, -4, 56, 32, 56]",error,"[-9, 12, 4, -14, -15, 24, -1, 14, 8, 8, 14]","[-9, 12, 4, -14, -15, 24, -1, 14, 14]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
960,"[-13, -1, -2, -11, 2, 17, -16]","[-12, -10, -5, -3, 3, 3, -4]","[-5, 7, 6, -3, 10, 25, -8]","[-8, -6, -1, 1, 7, 7, 0]","[-13, -1, -2, -11, 2, 17]","[-12, -10, -5, -3, 3, 3]","[-13, -1, -2, -11, 2, 17, -16, 8]","[-12, -10, -5, -3, 3, 3, -4, 4]","[-1.0833333333333333, 0.0111111111111111, 0.1333333333333333, -0.4583333333333333, -0.6666666666666667, 0.40476190476190477, -0.3333333333333333]","[-0.08333333333333333, -0.1, -0.2, -0.3333333333333333, 0.3333333333333333, 0.3333333333333333, -0.25]","[-52, -4, -8, -44, 8, 68, -64]","[-48, -40, -20, -12, 12, 12, -16]","[-1, 2, 2, -1, -15, -5, -6]","[-4, 3, -12, -10, -3, 3, -5]","[-13, -1, -2, -11, 2, 17, -16]","[-1, 2, 2, -1, -15, -5, -6]","[-5, 7, 6, -3, 10, 25, -8]","[-52, -4, -8, -44, 8, 68, -64]","[-1.0833333333333333, 0.0111111111111111, 0.1333333333333333, -0.4583333333333333, -0.6666666666666667, 0.40476190476190477, -0.3333333333333333]","[-13, -1, -2, -11, 2, 17, -16, 8]","[-13, -1, -2, -11, 2, 17]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
961,"[26, 6, 14, 24, -3, 13, 4, 13]","[11, -8, 16, 14, 7, -2, -9, 2]","[34, 14, 22, 32, 5, 21, 12, 21]","[15, -4, 20, 18, 11, 2, -5, 6]","[26, 6, 14, 24, -3, 4, 13]","[11, -8, 16, 14, 7, -9, 2]","[26, 6, 8, 14, 24, -3, 13, 4, 13]","[11, -8, 4, 16, 14, 7, -2, -9, 2]","[0.1575757575757576, -0.053571428571428575, -0.4375, 0.17142857142857143, 0.042857142857142844, -0.43333333333333335, -0.03418803418803418, 0.5909090909090909]","[0.09090909090909091, -0.125, 0.0625, 0.07142857142857142, 0.14285714285714285, -0.5, -0.1111111111111111, 0.5]","[104, 24, 56, 96, -12, 52, 16, 52]","[44, -32, 64, 56, 28, -8, -36, 8]","[6, 14, 4, 21, 13, 13, 21, 5]","[-9, 16, 14, 11, -2, 2, 7, -8]","[26, 6, 14, 24, -3, 13, 4, 13]","[6, 14, 4, 21, 13, 13, 21, 5]","[34, 14, 22, 32, 5, 21, 12, 21]","[104, 24, 56, 96, -12, 52, 16, 52]","[0.1575757575757576, -0.053571428571428575, -0.4375, 0.17142857142857143, 0.042857142857142844, -0.43333333333333335, -0.03418803418803418, 0.5909090909090909]","[26, 6, 8, 14, 24, -3, 13, 4, 13]","[26, 6, 14, 24, -3, 4, 13]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
962,"[5, -3, -16]","[4, 3, -9]","[13, 5, -8]","[8, 7, -5]","[-3, -16]","[3, -9]","[5, 8, -3, -16]","[4, 4, 3, -9]","[1.25, 0.16666666666666666, -0.25396825396825395]","[0.25, 0.3333333333333333, -0.1111111111111111]","[20, -12, -64]","[16, 12, -36]","[-3, -8, -3]","[4, -9, 3]","[5, -3, -16]","[-3, -8, -3]","[13, 5, -8]","[20, -12, -64]","[1.25, 0.16666666666666666, -0.25396825396825395]","[5, 8, -3, -16]","[-3, -16]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
963,"[-7, -1, -7, -3, 6, -3, 9, -8, 5, 8, -1, -7, -2, 10]","[-7, -2, -3, -6, 5, -4, 3, -5, 2, 6, -6, -7, -7, 5]","[1, 7, 1, 5, 14, 5, 17, 0, 13, 16, 7, 1, 6, 18]","[-3, 2, 1, -2, 9, 0, 7, -1, 6, 10, -2, -3, -3, 9]","[-7, -1, -7, -3, 6, -3, -8, 5, 8, -1, -7, -2, 10]","[-7, -2, -3, -6, 5, -4, -5, 2, 6, -6, -7, -7, 5]","[-7, 8, -1, -7, -3, 6, -3, 9, -8, 5, 8, -1, -7, -2, 10]","[-7, 4, -2, -3, -6, 5, -4, 3, -5, 2, 6, -6, -7, -7, 5]","['ZeroDivisionError', 1.0, -0.25, 0.3333333333333333, 1.0, 1.0, 0.16666666666666666, -0.3333333333333333, 0.3333333333333333, 0.5, 0.2, 'ZeroDivisionError', 0.2, 0.2]","[-0.14285714285714285, -0.5, -0.3333333333333333, -0.16666666666666666, 0.2, -0.25, 0.3333333333333333, -0.2, 0.5, 0.16666666666666666, -0.16666666666666666, -0.14285714285714285, -0.14285714285714285, 0.2]","[-28, -4, -28, -12, 24, -12, 36, -32, 20, 32, -4, -28, -8, 40]","[-28, -8, -12, -24, 20, -16, 12, -20, 8, 24, -24, -28, -28, 20]","[8, 3, -3, -2, 8, -9, -4, 0, -1, 5, -6, 6, -1, -5]","[3, -2, -4, 2, 6, -6, -7, -3, -6, 5, -7, 5, -7, -5]","[-7, -1, -7, -3, 6, -3, 9, -8, 5, 8, -1, -7, -2, 10]","[8, 3, -3, -2, 8, -9, -4, 0, -1, 5, -6, 6, -1, -5]","[1, 7, 1, 5, 14, 5, 17, 0, 13, 16, 7, 1, 6, 18]","[-28, -4, -28, -12, 24, -12, 36, -32, 20, 32, -4, -28, -8, 40]",error,"[-7, 8, -1, -7, -3, 6, -3, 9, -8, 5, 8, -1, -7, -2, 10]","[-7, -1, -7, -3, 6, -3, -8, 5, 8, -1, -7, -2, 10]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
964,"[-1, -17, -26, -8, -20, -30, -11, -7]","[4, -8, -13, -3, -10, -17, -11, -4]","[7, -9, -18, 0, -12, -22, -3, 1]","[8, -4, -9, 1, -6, -13, -7, 0]","[-1, -17, -26, -8, -20, -30, -7]","[4, -8, -13, -3, -10, -17, -4]","[-1, -17, -26, -8, -20, -30, -11, 8, -7]","[4, -8, -13, -3, -10, -17, -11, 4, -4]","[0.04999999999999999, -0.2361111111111111, -0.15384615384615385, -0.5333333333333333, -0.2, -0.13574660633484165, 'ZeroDivisionError', -0.3333333333333333]","[0.25, -0.125, -0.07692307692307693, -0.3333333333333333, -0.1, -0.058823529411764705, -0.09090909090909091, -0.25]","[-4, -68, -104, -32, -80, -120, -44, -28]","[16, -32, -52, -12, -40, -68, -44, -16]","[-20, -1, -26, -8, -6, -18, -17, -24]","[-10, 4, -17, -8, -3, -13, -4, -11]","[-1, -17, -26, -8, -20, -30, -11, -7]","[-20, -1, -26, -8, -6, -18, -17, -24]","[7, -9, -18, 0, -12, -22, -3, 1]","[-4, -68, -104, -32, -80, -120, -44, -28]",error,"[-1, -17, -26, -8, -20, -30, -11, 8, -7]","[-1, -17, -26, -8, -20, -30, -7]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
965,"[25, 12, -1, 7, -22, 31, 5, -7, 5]","[7, 13, -3, -1, -11, 15, 5, -1, 12]","[33, 20, 7, 15, -14, 39, 13, 1, 13]","[11, 17, 1, 3, -7, 19, 9, 3, 16]","[25, 12, -1, 7, -22, 5, -7, 5]","[7, 13, -3, -1, -11, 5, -1, 12]","[25, 12, -1, 7, -22, 31, 5, -7, 5, 8]","[7, 13, -3, -1, -11, 15, 5, -1, 12, 4]","[0.1984126984126984, -0.9230769230769231, 0.16666666666666669, -0.875, -0.18181818181818182, 0.12916666666666665, 'ZeroDivisionError', -0.16666666666666666, -0.14285714285714285]","[0.14285714285714285, 0.07692307692307693, -0.3333333333333333, -1.0, -0.09090909090909091, 0.06666666666666667, 0.2, -1.0, 0.08333333333333333]","[100, 48, -4, 28, -88, 124, 20, -28, 20]","[28, 52, -12, -4, -44, 60, 20, -4, 48]","[5, 6, -7, 13, 17, 23, -22, 6, 14]","[5, 13, -1, -3, -1, 15, -11, 7, 12]","[25, 12, -1, 7, -22, 31, 5, -7, 5]","[5, 6, -7, 13, 17, 23, -22, 6, 14]","[33, 20, 7, 15, -14, 39, 13, 1, 13]","[100, 48, -4, 28, -88, 124, 20, -28, 20]",error,"[25, 12, -1, 7, -22, 31, 5, -7, 5, 8]","[25, 12, -1, 7, -22, 5, -7, 5]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
966,"[15, 10, 4, 3, -6, 1, 0, 5, 9, -1, 0, 9]","[7, 5, 8, 7, -2, -4, 4, 5, 3, -1, -2, 1]","[23, 18, 12, 11, 2, 9, 8, 13, 17, 7, 8, 17]","[11, 9, 12, 11, 2, 0, 8, 9, 7, 3, 2, 5]","[15, 10, 4, 3, -6, 1, 0, 5, -1, 0, 9]","[7, 5, 8, 7, -2, -4, 4, 5, -1, -2, 1]","[15, 8, 10, 4, 3, -6, 1, 0, 5, 9, -1, 0, 9]","[7, 4, 5, 8, 7, -2, -4, 4, 5, 3, -1, -2, 1]","[0.26785714285714285, 0.4, -0.125, -0.10714285714285715, -0.75, -0.04999999999999999, 0.0, 'ZeroDivisionError', 0.16666666666666666, 'ZeroDivisionError', 0.5, 0.125]","[0.14285714285714285, 0.2, 0.125, 0.14285714285714285, -0.5, -0.25, 0.25, 0.2, 0.3333333333333333, -1.0, -0.5, 1.0]","[60, 40, 16, 12, -24, 4, 0, 20, 36, -4, 0, 36]","[28, 20, 32, 28, -8, -16, 16, 20, 12, -4, -8, 4]","[0, 3, 5, -4, 13, 3, 5, 3, 11, 10, -6, 6]","[4, -2, 5, -4, 5, 7, -1, 7, 3, 8, -2, 1]","[15, 10, 4, 3, -6, 1, 0, 5, 9, -1, 0, 9]","[0, 3, 5, -4, 13, 3, 5, 3, 11, 10, -6, 6]","[23, 18, 12, 11, 2, 9, 8, 13, 17, 7, 8, 17]","[60, 40, 16, 12, -24, 4, 0, 20, 36, -4, 0, 36]",error,"[15, 8, 10, 4, 3, -6, 1, 0, 5, 9, -1, 0, 9]","[15, 10, 4, 3, -6, 1, 0, 5, -1, 0, 9]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
967,[3],[6],[11],[10],[],[],"[8, 3]","[4, 6]",[-0.16666666666666666],[0.16666666666666666],[12],[24],[3],[6],[3],[3],[11],[12],[-0.16666666666666666],"[8, 3]",[],No-violate,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0,0
968,"[9, 7, 4, 7, 20, 18, 12, 10]","[12, 1, 5, 16, 17, 7, 4, -7]","[17, 15, 12, 15, 28, 26, 20, 18]","[16, 5, 9, 20, 21, 11, 8, -3]","[9, 7, 7, 20, 18, 12, 10]","[12, 1, 16, 17, 7, 4, -7]","[9, 8, 7, 4, 7, 20, 18, 12, 10]","[12, 4, 1, 5, 16, 17, 7, 4, -7]","[-0.25, 1.1666666666666667, -0.8, -0.048611111111111105, 0.39215686274509803, 0.23376623376623376, 0.375, -0.08403361344537814]","[0.08333333333333333, 1.0, 0.2, 0.0625, 0.058823529411764705, 0.14285714285714285, 0.25, -0.14285714285714285]","[36, 28, 16, 28, 80, 72, 48, 40]","[48, 4, 20, 64, 68, 28, 16, -28]","[20, 15, 24, -2, 18, -8, 7, 13]","[17, 4, 7, 1, 12, -7, 16, 5]","[9, 7, 4, 7, 20, 18, 12, 10]","[20, 15, 24, -2, 18, -8, 7, 13]","[17, 15, 12, 15, 28, 26, 20, 18]","[36, 28, 16, 28, 80, 72, 48, 40]","[-0.25, 1.1666666666666667, -0.8, -0.048611111111111105, 0.39215686274509803, 0.23376623376623376, 0.375, -0.08403361344537814]","[9, 8, 7, 4, 7, 20, 18, 12, 10]","[9, 7, 7, 20, 18, 12, 10]",Violate,No-violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0,0
969,"[6, 4, 6, 4, -19, -8, -4, 13]","[2, 8, 1, -4, -7, 6, 5, 10]","[14, 12, 14, 12, -11, 0, 4, 21]","[6, 12, 5, 0, -3, 10, 9, 14]","[6, 4, 6, -19, -8, -4, 13]","[2, 8, 1, -7, 6, 5, 10]","[6, 4, 6, 4, -19, -8, -4, 8, 13]","[2, 8, 1, -4, -7, 6, 5, 4, 10]","[0.75, -0.125, 1.2, -0.125, -0.22619047619047616, 0.09523809523809523, 0.0888888888888889, 0.43333333333333335]","[0.5, 0.125, 1.0, -0.25, -0.14285714285714285, 0.16666666666666666, 0.2, 0.1]","[24, 16, 24, 16, -76, -32, -16, 52]","[8, 32, 4, -16, -28, 24, 20, 40]","[-4, -11, 14, -18, -10, 13, 14, 4]","[5, -7, 10, -4, 2, 8, 6, 1]","[6, 4, 6, 4, -19, -8, -4, 13]","[-4, -11, 14, -18, -10, 13, 14, 4]","[14, 12, 14, 12, -11, 0, 4, 21]","[24, 16, 24, 16, -76, -32, -16, 52]","[0.75, -0.125, 1.2, -0.125, -0.22619047619047616, 0.09523809523809523, 0.0888888888888889, 0.43333333333333335]","[6, 4, 6, 4, -19, -8, -4, 8, 13]","[6, 4, 6, -19, -8, -4, 13]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
970,"[9, 4, -7, -17, 5, -2, -13, 0, -6]","[4, 4, 4, -7, 5, -7, -6, -5, -12]","[17, 12, 1, -9, 13, 6, -5, 8, 2]","[8, 8, 8, -3, 9, -3, -2, -1, -8]","[9, 4, -7, -17, -2, -13, 0, -6]","[4, 4, 4, -7, -7, -6, -5, -12]","[8, 9, 4, -7, -17, 5, -2, -13, 0, -6]","[4, 4, 4, 4, -7, 5, -7, -6, -5, -12]","[0.45, 'ZeroDivisionError', -0.09090909090909091, -0.1, 'ZeroDivisionError', 0.2, -0.14285714285714285, 0.2, 0.16666666666666666]","[0.25, 0.25, 0.25, -0.14285714285714285, 0.2, -0.14285714285714285, -0.16666666666666666, -0.2, -0.08333333333333333]","[36, 16, -28, -68, 20, -8, -52, 0, -24]","[16, 16, 16, -28, 20, -28, -24, -20, -48]","[9, 0, 11, 4, -23, -7, -16, -14, 9]","[4, -5, 5, 4, -12, -7, -6, -7, 4]","[9, 4, -7, -17, 5, -2, -13, 0, -6]","[9, 0, 11, 4, -23, -7, -16, -14, 9]","[17, 12, 1, -9, 13, 6, -5, 8, 2]","[36, 16, -28, -68, 20, -8, -52, 0, -24]",error,"[8, 9, 4, -7, -17, 5, -2, -13, 0, -6]","[9, 4, -7, -17, -2, -13, 0, -6]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
971,"[4, -2, -8, -10, -12, -16, -7, 3, 5]","[2, 4, -10, -8, -7, -9, -9, 3, 4]","[12, 6, 0, -2, -4, -8, 1, 11, 13]","[6, 8, -6, -4, -3, -5, -5, 7, 8]","[4, -2, -8, -10, -12, -16, 3, 5]","[2, 4, -10, -8, -7, -9, 3, 4]","[4, -2, -8, -10, -12, -16, -7, 8, 3, 5]","[2, 4, -10, -8, -7, -9, -9, 4, 3, 4]","[1.0, 0.08333333333333334, 0.4, -0.625, -0.34285714285714286, -0.25396825396825395, 0.3888888888888889, 'ZeroDivisionError', 1.0]","[0.5, 0.25, -0.1, -0.125, -0.14285714285714285, -0.1111111111111111, -0.1111111111111111, 0.3333333333333333, 0.25]","[16, -8, -32, -40, -48, -64, -28, 12, 20]","[8, 16, -40, -32, -28, -36, -36, 12, 16]","[-6, 5, -1, -8, 0, -7, -3, -15, -8]","[-8, 3, 4, -10, 2, -7, 4, -9, -9]","[4, -2, -8, -10, -12, -16, -7, 3, 5]","[-6, 5, -1, -8, 0, -7, -3, -15, -8]","[12, 6, 0, -2, -4, -8, 1, 11, 13]","[16, -8, -32, -40, -48, -64, -28, 12, 20]",error,"[4, -2, -8, -10, -12, -16, -7, 8, 3, 5]","[4, -2, -8, -10, -12, -16, 3, 5]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
972,"[1, 15, 10, -1, -8, -12, -3, 15, -12, -16, 22, 13, 14, 1]","[7, 11, 10, -3, -9, -5, -1, 12, -2, -10, 12, 12, 12, 8]","[9, 23, 18, 7, 0, -4, 5, 23, -4, -8, 30, 21, 22, 9]","[11, 15, 14, 1, -5, -1, 3, 16, 2, -6, 16, 16, 16, 12]","[1, 15, 10, -1, -8, -12, 15, -12, -16, 22, 13, 14, 1]","[7, 11, 10, -3, -9, -5, 12, -2, -10, 12, 12, 12, 8]","[1, 15, 10, -1, -8, -12, -3, 15, -12, -16, 8, 22, 13, 14, 1]","[7, 11, 10, -3, -9, -5, -1, 12, -2, -10, 4, 12, 12, 12, 8]","[-0.023809523809523808, 0.34090909090909094, 'ZeroDivisionError', 0.5, 1.0, -0.14285714285714285, -0.5, 0.3333333333333333, -0.1, -0.16666666666666666, 0.1, 1.0, 0.5, -0.14285714285714285]","[0.14285714285714285, 0.09090909090909091, 0.1, -0.3333333333333333, -0.1111111111111111, -0.2, -1.0, 0.08333333333333333, -0.5, -0.1, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.125]","[4, 60, 40, -4, -32, -48, -12, 60, -48, -64, 88, 52, 56, 4]","[28, 44, 40, -12, -36, -20, -4, 48, -8, -40, 48, 48, 48, 32]","[2, 10, -10, -15, 14, -8, 4, -8, 13, -8, 11, 1, 11, 22]","[-2, 12, -3, -5, 12, -1, 10, -9, 12, -10, 8, 7, 11, 12]","[1, 15, 10, -1, -8, -12, -3, 15, -12, -16, 22, 13, 14, 1]","[2, 10, -10, -15, 14, -8, 4, -8, 13, -8, 11, 1, 11, 22]","[9, 23, 18, 7, 0, -4, 5, 23, -4, -8, 30, 21, 22, 9]","[4, 60, 40, -4, -32, -48, -12, 60, -48, -64, 88, 52, 56, 4]",error,"[1, 15, 10, -1, -8, -12, -3, 15, -12, -16, 8, 22, 13, 14, 1]","[1, 15, 10, -1, -8, -12, 15, -12, -16, 22, 13, 14, 1]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
973,"[-28, 13, -31, -24, 6, -3, -18, -34, -20, -7, 11]","[-18, 8, -13, -9, 6, 0, -5, -18, -5, -15, 5]","[-20, 21, -23, -16, 14, 5, -10, -26, -12, 1, 19]","[-14, 12, -9, -5, 10, 4, -1, -14, -1, -11, 9]","[13, -31, -24, 6, -3, -18, -34, -20, -7, 11]","[8, -13, -9, 6, 0, -5, -18, -5, -15, 5]","[8, -28, 13, -31, -24, 6, -3, -18, -34, -20, -7, 11]","[4, -18, 8, -13, -9, 6, 0, -5, -18, -5, -15, 5]","[-0.15555555555555556, 0.325, -0.13247863247863248, -0.17777777777777776, 'ZeroDivisionError', -0.3333333333333333, -0.07692307692307693, -0.0625, -0.06666666666666667, 0.125, 0.16666666666666666]","[-0.05555555555555555, 0.125, -0.07692307692307693, -0.1111111111111111, 0.16666666666666666, 'ZeroDivisionError', -0.2, -0.05555555555555555, -0.2, -0.06666666666666667, 0.2]","[-112, 52, -124, -96, 24, -12, -72, -136, -80, -28, 44]","[-72, 32, -52, -36, 24, 0, -20, -72, -20, -60, 20]","[-5, -2, -34, -18, -15, -10, -33, 14, 11, -31, -12]","[-5, 8, -18, -5, 0, -15, -18, 6, 5, -13, -9]","[-28, 13, -31, -24, 6, -3, -18, -34, -20, -7, 11]","[-5, -2, -34, -18, -15, -10, -33, 14, 11, -31, -12]","[-20, 21, -23, -16, 14, 5, -10, -26, -12, 1, 19]","[-112, 52, -124, -96, 24, -12, -72, -136, -80, -28, 44]",error,"[8, -28, 13, -31, -24, 6, -3, -18, -34, -20, -7, 11]","[13, -31, -24, 6, -3, -18, -34, -20, -7, 11]",Violate,No-violate,Violate,error,No-violate,No-violate,1,0,1,error,0,0
974,"[-5, -21, 13, -1, -4, 7, 15, -1]","[4, -11, 4, -9, -11, 2, 8, 6]","[3, -13, 21, 7, 4, 15, 23, 7]","[8, -7, 8, -5, -7, 6, 12, 10]","[-5, -21, 13, -1, -4, 15, -1]","[4, -11, 4, -9, -11, 8, 6]","[-5, -21, 13, -1, -4, 7, 15, -1, 8]","[4, -11, 4, -9, -11, 2, 8, 6, 4]","[0.1388888888888889, -0.19090909090909092, 0.3611111111111111, 0.013888888888888895, 0.05194805194805194, 0.7, 0.26785714285714285, 0.023809523809523808]","[0.25, -0.09090909090909091, 0.25, -0.1111111111111111, -0.09090909090909091, 0.5, 0.125, 0.16666666666666666]","[-20, -84, 52, -4, -16, 28, 60, -4]","[16, -44, 16, -36, -44, 8, 32, 24]","[-3, 11, -7, -6, -2, 13, -16, 13]","[-11, 4, 2, -11, 8, 4, -9, 6]","[-5, -21, 13, -1, -4, 7, 15, -1]","[-3, 11, -7, -6, -2, 13, -16, 13]","[3, -13, 21, 7, 4, 15, 23, 7]","[-20, -84, 52, -4, -16, 28, 60, -4]","[0.1388888888888889, -0.19090909090909092, 0.3611111111111111, 0.013888888888888895, 0.05194805194805194, 0.7, 0.26785714285714285, 0.023809523809523808]","[-5, -21, 13, -1, -4, 7, 15, -1, 8]","[-5, -21, 13, -1, -4, 15, -1]",Violate,No-violate,Violate,Violate,No-violate,No-violate,1,0,1,1,0,0
